semanticnet_scale,n_items,match_type,n_dois,dois
servqual,20,exact,3,10.1037/t13079-000;10.1037/t63065-000;10.1037/t85906-000
severity of violence against men,46,core_exact,1,10.1037/t02578-000
severity of violence against women,46,core_exact,2,10.1037/t02579-000;10.1037/t69007-000
sex role,43,core_exact,4,10.1037/t05973-000;10.1037/t08614-000;10.1037/t09236-000;10.1037/t09245-000
sex-role orientation,35,none,0,
sexual abuse,7,core_exact,2,10.1037/t08932-000;10.1037/t20693-000
sexual assertiveness - initiation,6,none,0,
sexual assertiveness - pregancy/std,6,none,0,
sexual assertiveness - refusal,6,none,0,
sexual attitudes,23,core_exact,6,10.1037/t00355-000;10.1037/t00726-000;10.1037/t30463-000;10.1037/t32301-000;10.1037/t51873-000;10.1037/t60212-000
sexual coercion,14,core_exact,3,10.1037/t25133-000;10.1037/t38201-000;10.1037/t39946-000
sexual compulsivity,10,core_exact,1,10.1037/t04027-000
sexual double standard,16,core_exact,2,10.1037/t42637-000;10.1037/t71311-000
sexual experiences,18,core_exact,16,10.1037/t02590-000;10.1037/t05421-000;10.1037/t06227-000;10.1037/t08294-000;10.1037/t08905-000;10.1037/t09601-000;10.1037/t13723-000;10.1037/t20313-000
sexual experiences perpetration s,7,none,0,
sexual experiences victimization s,7,fuzzy,1,10.1037/t09413-000
sexual harassment,19,core_exact,3,10.1037/t05036-000;10.1037/t20304-000;10.1037/t64444-000
sexual objectification - advances,4,none,0,
sexual objectification - body evaluation,11,none,0,
sexual orientation beliefs - discreetness,6,none,0,
sexual orientation beliefs - entitativity,10,none,0,
sexual orientation beliefs - importance,7,none,0,
sexual orientation beliefs - naturalness,12,none,0,
sexual orientation harassment,7,none,0,
sexual orientation rejection sensitiviy minority women,16,none,0,
sexual responsiveness,16,none,0,
sexual self-concept,99,core_exact,4,10.1037/t09649-000;10.1037/t26173-000;10.1037/t26455-000;10.1037/t70974-000
shopping,7,none,0,
short mood and feelings,13,core_exact,8,10.1037/t15197-000;10.1037/t70340-000;10.1037/t72167-000;10.1037/t79064-000;10.1037/t80302-000;10.1037/t80303-000;10.1037/t81195-000;10.1037/t81428-000
short use of creative cognition,5,core_exact,1,10.1037/t36621-000
shorter promis - alcohol,10,none,0,
shorter promis - caffeine,10,none,0,
shorter promis - compulsive helping dominant,10,none,0,
shorter promis - compulsive helping submissive,10,none,0,
shorter promis - exercise,10,none,0,
shorter promis - food bingeing,10,none,0,
shorter promis - food starving,10,none,0,
shorter promis - gambling,10,none,0,
shorter promis - prescription drugs,10,none,0,
shorter promis - recreational drugs,10,none,0,
shorter promis - relationships dominant,10,none,0,
shorter promis - relationships submissive,10,none,0,
shorter promis - sex,10,none,0,
shorter promis - shopping,10,none,0,
shorter promis - tobacco,10,none,0,
shorter promis - work,10,none,0,
shyness,14,core_exact,1,10.1037/t13655-000
sicw compliance index,3,none,0,
sicw harrassment/discrimination,6,none,0,
sicw job certainty,4,none,0,
sicw job control,4,none,0,
sicw job demands,2,none,0,
sicw phys symptoms,4,none,0,
sicw psych. symptoms,3,none,0,
sicw safety climate,5,none,0,
sicw social support,6,none,0,
sicw training,4,none,0,
siddiqui-shah depression,36,core_exact,1,10.1037/t68828-000
sides_affect_dysregulation_scale,6,none,0,
signs of depression,6,core_exact,2,10.1037/t71309-000;10.1037/t72739-000
silver lining,38,core_exact,2,10.1037/t04263-000;10.1037/t64727-000
similarity of the offender's spirituality,9,core_exact,1,10.1037/t01173-000
simpson depression,7,none,0,
sincerity,10,none,0,
singing apprehension,20,none,0,
sipaas - anxiety distress avoidance,44,none,0,
sipaas - social phobia,17,none,0,
situational communication apprehension,20,none,0,
situational interdependence,30,core_exact,1,10.1037/t69611-000
six factors - agreeableness,4,none,0,
six factors - conscientiousness,4,none,0,
six factors - extraversion,4,none,0,
six factors - honesty/humility,4,none,0,
six factors - neuroticism,4,none,0,
six factors - openness,4,none,0,
skepticism,6,core_exact,1,10.1037/t53769-000
sleep - apnea,8,core_exact,1,10.1037/t33574-000
sleep - circadian rythm,3,none,0,
sleep - impact,7,none,0,
sleep - insomnia,8,none,0,
sleep - narcolepsy,5,none,0,
sleep - rls,4,none,0,
sleep - sleepwalking,3,none,0,
sleep backgrounds information,14,none,0,
sleep behaviors,31,none,0,
sleep disorders - narcolepsy,15,none,0,
sleep disorders - periodic limb movement,9,none,0,
sleep disorders - psychiatric,9,none,0,
sleep disorders - sleep apnea,12,none,0,
sleep disturbance,16,core_exact,2,10.1037/t14720-000;10.1037/t66136-000
sleep disturbances child,26,none,0,
sleep-related self-maintenance habits,29,none,0,
sluggish cognitive tempo,12,core_exact,1,10.1037/t01128-000
smarq behaviors,23,none,0,
smarq external motivation,23,none,0,
smoking cessation,6,none,0,
smu health,62,none,0,
sociability,26,core_exact,2,10.1037/t18986-000;10.1037/t43777-000
sociability2,10,none,0,
sociability3,10,none,0,
social and emotional loneliness,11,core_exact,3,10.1037/t05854-000;10.1037/t34648-000;10.1037/t79972-000
social and separation anxiety - sep,5,none,0,
social and separation anxiety - soc,5,none,0,
social anxiety adolescents - fne,8,none,0,
social anxiety adolescents - general,4,none,0,
social anxiety adolescents - new,6,none,0,
social anxiety adults,30,none,0,
social anxiety student,15,none,0,
social attraction,6,core_exact,3,10.1037/t13195-000;10.1037/t20176-000;10.1037/t59309-000
social avoidance and distress,28,core_exact,2,10.1037/t10309-000;10.1037/t60146-000
social boldness,10,none,0,
social comparison orientation,11,core_exact,1,10.1037/t80418-000
social desirability,20,core_exact,6,10.1037/t03607-000;10.1037/t19620-000;10.1037/t61182-000;10.1037/t66957-000;10.1037/t70650-000;10.1037/t83207-000
social desirability 17,17,core_exact,2,10.1037/t03607-000;10.1037/t70650-000
social desirability 2,10,fuzzy,6,10.1037/t03607-000;10.1037/t19620-000;10.1037/t61182-000;10.1037/t66957-000;10.1037/t70650-000;10.1037/t83207-000
social desirability 3,5,fuzzy,6,10.1037/t03607-000;10.1037/t19620-000;10.1037/t61182-000;10.1037/t66957-000;10.1037/t70650-000;10.1037/t83207-000
social discomfort,10,none,0,
social dominance orientation,16,exact,1,10.1037/t74097-000
social exchange relationship colquitt,13,none,0,
social intelligence - awareness,7,none,0,
social intelligence - info processing,7,none,0,
social intelligence - skills,8,none,0,
social interaction anxiety - cogn concerns,6,none,0,
social interaction anxiety - interaction anxiety,19,none,0,
social interaction anxiety - phobia,20,none,0,
social interaction anxiety - phys concerns,6,none,0,
social interaction anxiety - social concerns,6,none,0,
social interaction screen toddler,30,none,0,
social interaction self-statement - coping,3,none,0,
social interaction self-statement - fear neg evaluation,4,none,0,
social interaction self-statement - long,20,none,0,
social interaction self-statement - positive anticipation,4,none,0,
social interaction self-statement - self-depreciation,9,none,0,
social interest - romantic relationship,24,none,0,
social isolation,12,core_exact,6,10.1037/t12577-000;10.1037/t32563-000;10.1037/t62081-000;10.1037/t62453-000;10.1037/t72603-000;10.1037/t83000-000
social justice - attitudes,11,none,0,
social justice - control,5,none,0,
social justice - intentions,4,none,0,
social justice - norms,4,none,0,
social media use integration,10,core_exact,1,10.1037/t28032-000
social phobia,39,core_exact,11,10.1037/t03804-000;10.1037/t07364-000;10.1037/t07557-000;10.1037/t07672-000;10.1037/t35490-000;10.1037/t35491-000;10.1037/t49524-000;10.1037/t62693-000
social physique anxiety,12,core_exact,6,10.1037/t07809-000;10.1037/t07814-000;10.1037/t15920-000;10.1037/t20536-000;10.1037/t21019-000;10.1037/t72297-000
social provisions,24,core_exact,4,10.1037/t06213-000;10.1037/t30718-000;10.1037/t54317-000;10.1037/t63339-000
social regulation of religion,5,none,0,
social representations of indirect violence,36,none,0,
social representations of physical violence,41,none,0,
social representations of verbal violence,41,none,0,
social responsibility,53,core_exact,3,10.1037/t01148-000;10.1037/t25560-000;10.1037/t35615-000
social sexual awareness,30,core_exact,1,10.1037/t68816-000
social skills rating,55,core_exact,6,10.1037/t02651-000;10.1037/t41357-000;10.1037/t50828-000;10.1037/t57972-000;10.1037/t65669-000;10.1037/t80076-000
social sports experiences,8,none,0,
social support for sojourners,18,none,0,
social support inventory,20,exact,1,10.1037/t20639-000
social system control,24,none,0,
social trust,7,none,0,
social understanding child - belief,4,none,0,
social understanding child - desire,6,none,0,
social understanding child - emotion,6,none,0,
social understanding child - intention,7,none,0,
social understanding child - knowledge,5,none,0,
social understanding child - perception,6,none,0,
social withdrawal,6,core_exact,1,10.1037/t01156-000
social-confidence,10,core_exact,1,10.1037/t42422-000
social-networking,5,core_exact,1,10.1037/t22657-000
social/personal/emotional intelligence,7,none,0,
socially supportive behaviors,40,fuzzy,2,10.1037/t02399-000;10.1037/t61897-000
sociocommunicative style,20,none,0,
sociotropy autonomy - fear of criticism rejection,16,none,0,
sociotropy autonomy - independert goal attainment,11,none,0,
sociotropy autonomy - preference for affiliation,11,none,0,
sociotropy autonomy - sensitivity to thers control,17,none,0,
socrates,19,exact,3,10.1037/t00536-000;10.1037/t19699-000;10.1037/t70298-000
somatic symptom inventory,26,core_exact,4,10.1037/t61708-000;10.1037/t66128-000;10.1037/t83593-000;10.1037/t86942-000
source credibility,18,core_exact,5,10.1037/t10988-000;10.1037/t19915-000;10.1037/t53806-000;10.1037/t66414-000;10.1037/t72607-000
sources of social support,10,core_exact,2,10.1037/t31960-000;10.1037/t64841-000
speciecism,6,none,0,
spence children's anxiety - general,6,none,0,
spence children's anxiety - ocd,6,fuzzy,7,10.1037/t10518-000;10.1037/t59109-000;10.1037/t67404-000;10.1037/t67918-000;10.1037/t69083-000;10.1037/t71582-000;10.1037/t83291-000
spence children's anxiety - panic agoraphobia,9,none,0,
spence children's anxiety - physical,5,none,0,
spence children's anxiety - separation anxiety,6,none,0,
spence children's anxiety - social phobia,6,none,0,
spheres of control,30,core_exact,1,10.1037/t04867-000
spiritual connection,48,core_exact,1,10.1037/t82680-000
spiritual experience,6,none,0,
spiritual health - nurse,31,none,0,
spiritual health - patient,33,none,0,
spiritual health locus of control,14,core_exact,1,10.1037/t19819-000
spiritual well-being,12,core_exact,7,10.1037/t00534-000;10.1037/t12442-000;10.1037/t37636-000;10.1037/t45690-000;10.1037/t57480-000;10.1037/t59757-000;10.1037/t79654-000
spiritual/relig dimensions - additional,6,none,0,
spiritual/relig dimensions - alternative,15,none,0,
spiritual/relig dimensions - christian,14,none,0,
spirituality/religiousness,9,none,0,
sport motivation,60,core_exact,7,10.1037/t20394-000;10.1037/t34480-000;10.1037/t55190-000;10.1037/t65925-000;10.1037/t69092-000;10.1037/t69096-000;10.1037/t79564-000
sports,6,none,0,
spouse abuse,30,none,0,
spsrq,48,exact,1,10.1037/t04113-000
st marys hospital sleep,17,none,0,
stability,26,none,0,
standord preschool internal-external,42,fuzzy,1,10.1037/t05737-000
stanford acute stress - anxiety,10,none,0,
stanford acute stress - dissociation,10,none,0,
state driver aggression,5,none,0,
state hope disease,10,none,0,
state self-esteem,20,core_exact,3,10.1037/t01181-000;10.1037/t45804-000;10.1037/t70664-000
statistical anxiety,50,core_exact,3,10.1037/t10930-000;10.1037/t62638-000;10.1037/t62688-000
statistically unlikely pursuits (wassup),29,none,0,
stellenbosch mood,24,none,0,
stimulating-instrumental risk,17,none,0,
stq - attitude to life,42,none,0,
strain,51,core_exact,3,10.1037/t17215-000;10.1037/t36913-000;10.1037/t63443-000
strain free negative affectivity,26,core_exact,1,10.1037/t05778-000
strength of religious faith,3,none,0,
strengths and difficulties,25,core_exact,15,10.1037/t00540-000;10.1037/t07042-000;10.1037/t18694-000;10.1037/t19893-000;10.1037/t20538-000;10.1037/t49752-000;10.1037/t58449-000;10.1037/t62600-000
stroke aphasic depression,21,core_exact,2,10.1037/t35121-000;10.1037/t35123-000
student teacher relationship,34,core_exact,4,10.1037/t11872-000;10.1037/t25835-000;10.1037/t72386-000;10.1037/t83449-000
student university match,18,core_exact,1,10.1037/t07365-000
student worry,30,core_exact,4,10.1037/t10703-000;10.1037/t13550-000;10.1037/t65523-000;10.1037/t84711-000
students' life satisfaction,7,core_exact,4,10.1037/t21437-000;10.1037/t70887-000;10.1037/t71204-000;10.1037/t79908-000
subclinical narcissism,32,none,0,
subjective happiness,4,core_exact,11,10.1037/t01588-000;10.1037/t15855-000;10.1037/t46636-000;10.1037/t46918-000;10.1037/t54927-000;10.1037/t59406-000;10.1037/t73540-000;10.1037/t74172-000
subjective sense of calling in childrearing,16,core_exact,1,10.1037/t41528-000
submissiveness,6,none,0,
subtle and overt psychological abuse of women,35,none,0,
subtle racism,18,none,0,
suicidal behaviours,25,none,0,
suicidal ideation,19,core_exact,2,10.1037/t19592-000;10.1037/t62406-000
summer activities,7,none,0,
superiority of homosexuality,5,none,0,
supernumerary personality,15,core_exact,1,10.1037/t11327-000
supervisory relationship - commitment,10,none,0,
supervisory relationship - formative feedback,11,none,0,
supervisory relationship - reflective education,11,none,0,
supervisory relationship - role model,12,none,0,
supervisory relationship - safe base,15,none,0,
supervisory relationship - structure,8,none,0,
support,4,core_exact,2,10.1037/t32114-000;10.1037/t67433-000
support for lesbian and gay human rights,25,core_exact,2,10.1037/t07456-000;10.1037/t58794-000
suppressed anger,6,none,0,
surface warfare officer,38,none,0,
surgency/extraversion 10 item,10,none,0,
surgency/extraversion 20 item,20,none,0,
survey attitude,9,core_exact,11,10.1037/t05980-000;10.1037/t07897-000;10.1037/t12742-000;10.1037/t13328-000;10.1037/t14556-000;10.1037/t15571-000;10.1037/t26183-000;10.1037/t31492-000
susceptibility to embarrassment,25,none,0,
susceptibility to infidelity,12,none,0,
susceptibility to temptation,11,none,0,
swanson adhd,18,none,0,
symbolic racism,8,none,0,
symbolic racism 2000,7,core_exact,1,10.1037/t50164-000
sympathetic magic in romantic relationships,5,none,0,
sympathy,10,none,0,
sympathy2,13,none,0,
symptom checklist for major depressive disorders,23,none,0,
symptom-sign inventory,10,exact,1,10.1037/t13048-000
symptoms of stress,15,none,0,
system justification – america,8,none,0,
systemizing,60,none,0,
systemizing quotient,75,exact,4,10.1037/t29100-000;10.1037/t64815-000;10.1037/t73009-000;10.1037/t73321-000
tacit knowledge - self-motivation,8,none,0,
tacit knowledge - self-organization,11,none,0,
tacit knowledge - social interaction,2,none,0,
tacit knowledge - tech skills,9,none,0,
talkaholic,16,none,0,
talkativeness,10,none,0,
task attraction,6,none,0,
task effort cost,5,none,0,
team emergency assessment,11,core_exact,1,10.1037/t17818-000
team learning behavior,14,none,0,
team learning climate,6,none,0,
technology readiness - discomfort,10,none,0,
technology readiness - innovativeness,7,none,0,
technology readiness - insecurity,9,none,0,
technology readiness - optimism,10,none,0,
temperance,10,none,0,
temporal satisfaction with life,15,core_exact,3,10.1037/t73017-000;10.1037/t73111-000;10.1037/t86054-000
temptations to drink,12,none,0,
ten item personality,10,core_exact,10,10.1037/t07016-000;10.1037/t07017-000;10.1037/t42434-000;10.1037/t42949-000;10.1037/t51740-000;10.1037/t51858-000;10.1037/t70102-000;10.1037/t71256-000
tenderness,13,none,0,
tetradimensional depression - anergy,14,none,0,
tetradimensional depression - depressive mood,22,none,0,
texas social behavior,32,none,0,
theocracy,2,none,0,
theories_of_willpower_survey,12,none,0,
therapeutic realizations - past insight,2,none,0,
therapeutic realizations - present understanding,5,none,0,
therapeutic realizations - remoralization,6,none,0,
therapeutic realizations - unburdening,3,none,0,
thought control - distraction,7,none,0,
thought control - punishment,6,none,0,
thought control - reappraisal,6,none,0,
thought control - social,6,none,0,
thought control - worry,6,none,0,
three_factor_eating_questionnaire,18,exact,6,10.1037/t02178-000;10.1037/t15085-000;10.1037/t44324-000;10.1037/t48166-000;10.1037/t80113-000;10.1037/t80115-000
thrill-seeking,7,none,0,
time perspective,2,core_exact,2,10.1037/t54961-000;10.1037/t72649-000
timidity,10,none,0,
tinnitus reaction,26,none,0,
tolerance,12,core_exact,4,10.1037/t17862-000;10.1037/t32327-000;10.1037/t83494-000;10.1037/t83495-000
tolerance for disagreement,15,none,0,
tolerance of atheists,3,none,0,
tolerance of communists,3,none,0,
tolerance of cultural diversity,5,none,0,
tolerance of homosexuals,3,none,0,
tolerance of muslims,8,none,0,
tolerance of racists,3,none,0,
tolerance2,9,none,0,
tolerance3,9,none,0,
toronto empathy,16,core_exact,3,10.1037/t01601-000;10.1037/t56682-000;10.1037/t85599-000
toronto mindfulness,15,core_exact,1,10.1037/t05515-000
total loc,20,none,0,
touch apprehension,14,none,0,
toughness,21,none,0,
tpb class attendance,51,none,0,
traditional family,14,none,0,
traditionalism,10,none,0,
traffic loc,17,none,0,
training courses,4,none,0,
trait emotional intelligence,30,core_exact,17,10.1037/t01607-000;10.1037/t04889-000;10.1037/t10934-000;10.1037/t12409-000;10.1037/t24034-000;10.1037/t50471-000;10.1037/t55209-000;10.1037/t57510-000
trait forgiveness,9,none,0,
tranquility,11,none,0,
transactive memory system - coordination,5,none,0,
transactive memory system - credibility,5,none,0,
transactive memory system - specialization,5,none,0,
transformational leadership,8,core_exact,5,10.1037/t11708-000;10.1037/t30236-000;10.1037/t54155-000;10.1037/t58351-000;10.1037/t60553-000
transgender congruence,12,core_exact,1,10.1037/t07484-000
transgression-related interpersonal motivations,18,core_exact,13,10.1037/t03960-000;10.1037/t25585-000;10.1037/t30045-000;10.1037/t34615-000;10.1037/t50226-000;10.1037/t51241-000;10.1037/t51485-000;10.1037/t58916-000
transport narrative,12,none,0,
trauma history screen,20,exact,1,10.1037/t03738-000
trauma screening,10,core_exact,3,10.1037/t04710-000;10.1037/t39633-000;10.1037/t44617-000
trauma symptom,40,core_exact,6,10.1037/t05185-000;10.1037/t05186-000;10.1037/t06631-000;10.1037/t63391-000;10.1037/t63824-000;10.1037/t74322-000
trauma symptom children,54,fuzzy,4,10.1037/t06631-000;10.1037/t37177-000;10.1037/t44849-000;10.1037/t77165-000
traumatic events,12,core_exact,5,10.1037/t00469-000;10.1037/t35142-000;10.1037/t36477-000;10.1037/t41072-000;10.1037/t65792-000
travel,6,none,0,
treatment participation,25,none,0,
triangular love - commitment,12,none,0,
triangular love - intimacy,12,none,0,
triangular love - passion,12,none,0,
trinity amputation and prosthesis - activities,12,none,0,
trinity amputation and prosthesis - psychosocial,15,none,0,
trust,16,exact,2,10.1037/t54159-000;10.1037/t84476-000
trust in management,5,core_exact,3,10.1037/t14484-000;10.1037/t25419-000;10.1037/t54500-000
trust in physician,11,core_exact,5,10.1037/t23406-000;10.1037/t23550-000;10.1037/t51852-000;10.1037/t59628-000;10.1037/t72190-000
trust2,12,none,0,
trusting,6,none,0,
trusting relationship,18,core_exact,1,10.1037/t43933-000
tv,7,none,0,
twenty two psychiatric,22,none,0,
twincity neighborhood,13,none,0,
typical writing study - last day,17,none,0,
typical writing study - richards,6,none,0,
ubc cognitions - depression,18,none,0,
ubc cognitions - panic,11,none,0,
ubc cognitions - social fear,15,none,0,
ubc cognitions - somatic,12,none,0,
ubc cognitions - worry,8,none,0,
unassuming-ingenuous,4,none,0,
unassured-submissive,4,none,0,
unconventionality,10,none,0,
understanding,16,none,0,
unit behaviors,16,none,0,
univeristy satisfaction academic,16,none,0,
univeristy satisfaction facilities,16,none,0,
unlikely virtues,17,none,0,
unpretentiousness,9,none,0,
unusual beliefs,7,none,0,
unusual experiences,7,none,0,
upps impulsive - perserverance,10,none,0,
upps impulsive - premeditation,11,none,0,
upps impulsive - sensation seeking,12,none,0,
upps impulsive - urgency,12,none,0,
upps-p_impulsivity_survey,58,none,0,
urban design walkability,23,none,0,
us ethnocentrism,16,none,0,
utilitarianism,12,core_exact,1,10.1037/t19929-000
valor/bravery/courage,10,none,0,
value orientation,36,core_exact,1,10.1037/t37906-000
vancouver acculturation,20,fuzzy,5,10.1037/t03897-000;10.1037/t63921-000;10.1037/t68184-000;10.1037/t78858-000;10.1037/t78859-000
vancouver ocd - checking,5,none,0,
vancouver ocd - contamination,12,none,0,
vancouver ocd - hoarding,7,none,0,
vancouver ocd - indecisiveness,6,none,0,
vancouver ocd - just right,12,none,0,
vancouver ocd - obsessions,12,none,0,
variability,3,none,0,
variety-seeking,10,none,0,
vehicles,4,none,0,
vertical collectivism,8,none,0,
vertical individualism,8,none,0,
violent driving behavior,7,none,0,
virtual team trust,11,none,0,
virtuous,6,none,0,
voices acceptance and action,31,core_exact,3,10.1037/t64086-000;10.1037/t72940-000;10.1037/t79398-000
voices acceptance and action - acceptance,9,none,0,
voices acceptance and action - action,3,none,0,
voices acceptance and action - sectionb,8,none,0,
volatility,10,none,0,
vulnerability,10,none,0,
vulnerable attachment style,22,core_exact,1,10.1037/t37633-000
vulnerable personality,9,none,0,
wakefield depression,12,none,0,
wang depression,10,none,0,
warm-agreeable,4,none,0,
warmth,16,none,0,
ways of coping - avoidance,10,none,0,
ways of coping - blamed self,3,none,0,
ways of coping - problem-focused,15,none,0,
ways of coping - social support,6,none,0,
ways of coping - wishful thinking,8,none,0,
wechsler depression,28,none,0,
well-being - anxiety,6,none,0,
well-being - depression,6,none,0,
well-being - positive,6,none,0,
wellness beliefs,21,core_exact,1,10.1037/t31883-000
west haven-yale pain,22,none,0,
white privilege attitudes,28,core_exact,2,10.1037/t00550-000;10.1037/t65901-000
who depressive disorders,40,none,0,
wife abuse - physical,11,none,0,
wife abuse - psychological,15,none,0,
wife abuse - sexual,12,none,0,
wife abuse - verbal,14,none,0,
wilder collaboration - communication,9,none,0,
wilder collaboration - context,10,none,0,
wilder collaboration - function,8,none,0,
wilder collaboration - leadership,9,none,0,
wilder collaboration - members,12,none,0,
wilder collaboration - process,9,none,0,
wilder collaboration - resources,10,none,0,
wilder collaboration - success,8,none,0,
willingness to be vulnerable colquitt,7,none,0,
willingness to communicate,20,none,0,
willingness to intervene in partner violence,28,none,0,
wisdom,40,core_exact,1,10.1037/t55665-000
withdrawal,10,none,0,
woman abuse,7,none,0,
women’s experiences with battering,10,core_exact,1,10.1037/t02783-000
women’s health initiative - sleep,10,none,0,
work motivation,19,core_exact,5,10.1037/t16023-000;10.1037/t19807-000;10.1037/t20790-000;10.1037/t52760-000;10.1037/t54234-000
work team outcomes,3,none,0,
work-family conflict s,6,fuzzy,15,10.1037/t01575-000;10.1037/t01666-000;10.1037/t02785-000;10.1037/t08858-000;10.1037/t12036-000;10.1037/t16258-000;10.1037/t34739-000;10.1037/t40752-000
work-family enrichment,18,core_exact,5,10.1037/t09194-000;10.1037/t28870-000;10.1037/t34131-000;10.1037/t41572-000;10.1037/t57737-000
work-family positive spillover,22,none,0,
workaholism,6,core_exact,3,10.1037/t01066-000;10.1037/t49172-000;10.1037/t82546-000
working style superior,8,none,0,
workplace age discrimination,26,none,0,
worksite health promotion - activities,5,none,0,
worksite health promotion - management,5,none,0,
worksite health promotion - willingness,4,none,0,
world-minded attitudes,32,none,0,
writing apprehension,20,core_exact,3,10.1037/t48320-000;10.1037/t70560-000;10.1037/t73755-000
writing/remembering,7,none,0,
yale brown obsessive compulsive scale,19,exact,14,10.1037/t49591-000;10.1037/t56763-000;10.1037/t57044-000;10.1037/t57982-000;10.1037/t58181-000;10.1037/t58183-000;10.1037/t64352-000;10.1037/t67908-000
yale food addiction,25,core_exact,12,10.1037/t03319-000;10.1037/t48787-000;10.1037/t53081-000;10.1037/t56278-000;10.1037/t59185-000;10.1037/t63904-000;10.1037/t66471-000;10.1037/t70179-000
young child ptsd,43,none,0,
young child ptsd screen,6,exact,1,10.1037/t72264-000
youth quality of life s,15,none,0,
youth risk behavior middle school,45,none,0,
youth risk behavior national high school,85,none,0,
youth risk behavior standard high school,79,none,0,
youth-mentor - cope,3,none,0,
youth-mentor - not dissatisfied,3,none,0,
youth-mentor - not unhappy,6,none,0,
youth-mentor - trust,6,none,0,
zest/enthusiasm/vitality,9,none,0,
zimbardo_time_perspective_survey,54,core_exact,12,10.1037/t01397-000;10.1037/t07377-000;10.1037/t14562-000;10.1037/t32210-000;10.1037/t42256-000;10.1037/t47049-000;10.1037/t50392-000;10.1037/t56510-000
"zimbardo_time_perspective_survey, 47. life today is too complicated; i would prefer the simpler life of the past., https://scienceofbehaviorchange.org/measures, ; zimbardo_time_perspective_survey",1,none,0,
zuckerman_sensation_seeking_survey,40,none,0,
zung depression,19,core_exact,1,10.1037/t29347-000
zung self-rating depression,20,core_exact,1,10.1037/t04095-000
