semanticnet_scale,n_items,match_type,n_dois,dois
cognitive and affective mindfulness,12,core_exact,2,10.1037/t49653-000;10.1037/t51219-000
cognitive avoidance,25,core_exact,4,10.1037/t13018-000;10.1037/t32747-000;10.1037/t60074-000;10.1037/t82294-000
cognitive failures,35,core_exact,3,10.1037/t00791-000;10.1037/t05702-000;10.1037/t74856-000
cognitive functioning,18,none,0,
cognitive problems,8,none,0,
cognitive processing of trauma,17,core_exact,1,10.1037/t14711-000
cognitive style - creating,7,none,0,
cognitive style - knowing,4,none,0,
cognitive style - planning,7,none,0,
cognitive-somatic anxiety,14,core_exact,2,10.1037/t20915-000;10.1037/t67386-000
cohen-hoberman physical symptoms,33,fuzzy,2,10.1037/t06617-000;10.1037/t48814-000
cold-hearted,4,none,0,
collaborative parent involvement (diabetes),12,none,0,
collecting,5,none,0,
collective existential (extinction) threat,13,none,0,
collective self-esteem,16,core_exact,8,10.1037/t03003-000;10.1037/t16793-000;10.1037/t19364-000;10.1037/t36714-000;10.1037/t46293-000;10.1037/t46941-000;10.1037/t50083-000;10.1037/t61180-000
college activities,14,none,0,
college adjustment,19,core_exact,1,10.1037/t66464-000
college alcohol problems - personal,4,none,0,
college alcohol problems - social,4,none,0,
color-blind racial attitudes,20,core_exact,2,10.1037/t00078-000;10.1037/t45749-000
columbia suicide severity,60,core_exact,3,10.1037/t52667-000;10.1037/t78632-000;10.1037/t79435-000
"columbia suicide severity, responsibility to family or others; living with family, www.psychologytools.com, ; columbia suicide severity",1,none,0,
command safety - cc,26,none,0,
command safety - pa,9,none,0,
command safety - qa,4,none,0,
command safety - rm,13,none,0,
command safety - rssc,9,none,0,
commitment,3,core_exact,11,10.1037/t03503-000;10.1037/t04602-000;10.1037/t09210-000;10.1037/t12518-000;10.1037/t17973-000;10.1037/t23211-000;10.1037/t24224-000;10.1037/t35442-000
communication apprehension,24,core_exact,1,10.1037/t67373-000
communication competence,12,core_exact,2,10.1037/t41381-000;10.1037/t63715-000
communication systems,4,none,0,
community attitudes toward sex offenders,20,exact,1,10.1037/t58830-000
community participation and leisure,52,none,0,
companionate love - decision,4,none,0,
companionate love - intimacy,4,none,0,
comparison orientation,11,none,0,
compassion,20,core_exact,6,10.1037/t01681-000;10.1037/t10177-000;10.1037/t73519-000;10.1037/t74760-000;10.1037/t85005-000;10.1037/t85006-000
compassionate and self-image goals - friend,13,none,0,
compassionate and self-image goals - roommate,16,none,0,
compensatory health belief,17,fuzzy,1,10.1037/t03171-000
competence,24,core_exact,3,10.1037/t10252-000;10.1037/t12798-000;10.1037/t41330-000
competence2,10,none,0,
competitive,6,none,0,
competitive state anxiety - cognitive anxiety,5,none,0,
competitive state anxiety - self-confidence,5,none,0,
competitive state anxiety - somatic anxiety,7,none,0,
complexity,13,core_exact,1,10.1037/t37717-000
complexity2,10,none,0,
compliance in an interrogative situation,19,none,0,
composite international diagnostic interview - insomnia,6,none,0,
comprehension,10,core_exact,3,10.1037/t15489-000;10.1037/t40796-000;10.1037/t51926-000
comprehension2,10,none,0,
compulsive hoarding,23,none,0,
computer anxiety,19,core_exact,11,10.1037/t05810-000;10.1037/t05811-000;10.1037/t05812-000;10.1037/t05814-000;10.1037/t13260-000;10.1037/t13631-000;10.1037/t13662-000;10.1037/t13663-000
computing,6,none,0,
concerns,9,core_exact,1,10.1037/t15384-000
condensed memorial symptom,14,core_exact,3,10.1037/t18770-000;10.1037/t73558-000;10.1037/t73560-000
conduct disorder - parent,20,core_exact,1,10.1037/t62210-000
conduct disorder - teacher,13,core_exact,1,10.1037/t62210-000
conflict between sexes,149,none,0,
conformity,10,none,0,
connectedness to nature,14,core_exact,2,10.1037/t10022-000;10.1037/t70452-000
connectedness to nature scale,14,exact,2,10.1037/t10022-000;10.1037/t70452-000
connectivity with nature,5,none,0,
connor-davidson resilience,25,core_exact,16,10.1037/t06346-000;10.1037/t09624-000;10.1037/t29769-000;10.1037/t38872-000;10.1037/t49550-000;10.1037/t60027-000;10.1037/t60477-000;10.1037/t61049-000
conscientiousness,10,core_exact,3,10.1037/t09325-000;10.1037/t44406-000;10.1037/t73197-000
conscientiousness 10 item,10,none,0,
conscientiousness 10 item2,10,none,0,
conscientiousness 20 item,20,none,0,
conscientiousness 20 item2,20,none,0,
conscientiousness2,9,none,0,
consciousness of social face,11,core_exact,1,10.1037/t41957-000
conservatism,9,core_exact,2,10.1037/t06085-000;10.1037/t49189-000
conservatism2,10,none,0,
conservatism3,8,none,0,
consideration of future consequences,12,exact,1,10.1037/t36853-000
consideration_of_future_consequences_scale,14,exact,8,10.1037/t00869-000;10.1037/t23020-000;10.1037/t48195-000;10.1037/t48885-000;10.1037/t65979-000;10.1037/t75726-000;10.1037/t85493-000;10.1037/t85712-000
conspiracy mentality,12,core_exact,2,10.1037/t31566-000;10.1037/t73004-000
consumer aggression - aggressiveness,6,none,0,
consumer aggression - requesting info,5,none,0,
consumer aggression - resisting,5,none,0,
consumer aggression - seeking redress,5,none,0,
consumer ethnocentrism,17,exact,1,10.1037/t78566-000
consumer motivation - convenience,4,none,0,
consumer motivation - ethics,5,none,0,
consumer motivation - quality,5,none,0,
consumer motivation - safety,5,none,0,
consumer motivation - social acceptance,5,none,0,
consumer motivation - stimulation,5,none,0,
consumer motivation - value/money,5,none,0,
consumer perceived value - emotional,5,none,0,
consumer perceived value - price,4,none,0,
consumer perceived value - quality,6,none,0,
consumer perceived value - social,5,none,0,
consumers need for uniqueness,31,core_exact,2,10.1037/t68547-000;10.1037/t69013-000
contentment with life,5,none,0,
context,6,none,0,
context2,6,none,0,
contingencies of self-worth,35,core_exact,2,10.1037/t00082-000;10.1037/t67721-000
controllability of poverty beliefs,10,none,0,
cool-headedness,10,none,0,
cooperation,10,none,0,
cooperation2,10,none,0,
cooperation3,12,none,0,
coparenting gay/lesbian - affection,6,none,0,
