"doi","name","items","matched","files","status"
"10.1037/t07564-000","NEO Personality Inventory (NEO-PI)","0","","0","not_found"
"10.1037/t07870-000","","0","","0","not_found"
"10.1037/t02178-000","Three Factor Eating Questionnaire (TFEQ)","18","","1","no_source_text (scanned or nothing archived)"
"10.1037/t03624-000","Multifactor Leadership Questionnaire","0","","0","not_found"
"10.1037/t73087-000","","0","","0","not_found"
"10.1037/t02278-000","","0","","0","not_found"
"10.1037/t71125-000","Alcohol Use Disorders Identification Test - Consumption (AUDIT-C)","3","0","4","REVIEW"
"10.1037/t16058-000","","0","","0","not_found"
"10.1037/t55271-000","Resilience Scale (Thai, for substance-dependent women)","0","","0","not_found"
"10.1037/t05950-000","","0","","0","not_found"
"10.1037/t41553-000","","0","","0","not_found"
"10.1037/t05638-000","ADHD Rating Scale-IV (ADHD-RS-IV), Home Version","0","","0","not_found"
"10.1037/t01309-000","Parenting Scale","0","","0","not_found"
"10.1037/t08303-000","Binge Eating Scale (BES)","0","","0","not_found"
"10.1037/t06497-000","State-Trait Anxiety Inventory for Children (STAIC / How I Feel Questionnaire)","0","","0","not_found"
"10.1037/t05183-000","","0","","0","not_found"
"10.1037/t15121-000","MMPI-2-RF (Minnesota Multiphasic Personality Inventory-2-Restructured Form)","0","","0","not_found"
"10.1037/t09699-000","Kohn Symptom Checklist (KSC)","0","","0","not_found"
"10.1037/t67378-000","Pain Disability Index (PDI)","7","1","3","REVIEW"
"10.1037/t52053-000","","6","0","3","REVIEW"
"10.1037/t08132-000","Emotion Regulation Checklist (ERC)","0","","0","not_found"
"10.1037/t12205-000","Clinical Interview Schedule--Revised (CIS-R)","0","","0","not_found"
"10.1037/t03988-000","Schedule for Affective Disorders and Schizophrenia for School-Age Children – Present and Lifetime Version (K-SADS-PL)","12","0","4","REVIEW"
"10.1037/t07870-000","","0","","0","not_found"
"10.1037/t16058-000","General Health Questionnaire-28 (GHQ-28 / Scaled GHQ)","3","0","3","REVIEW"
"10.1037/t02278-000","Inventory of Interpersonal Problems (IIP)","0","","0","not_found"
"10.1037/t41553-000","Hamilton Depression Inventory","0","","0","not_found"
"10.1037/t05638-000","ADHD Rating Scale-IV","18","18","9","ok"
"10.1037/t01309-000","Parenting Scale (PS)","0","","0","not_found"
"10.1037/t08303-000","Binge Eating Scale (BES)","16","14","9","REVIEW"
"10.1037/t05183-000","Subjective Units of Distress Scale (SUDS)","0","","0","not_found"
"10.1037/t09699-000","Kohn Symptom Checklist (KSC)","0","","0","not_found"
"10.1037/t08132-000","Emotion Regulation Checklist (ERC)","24","18","11","REVIEW"
"10.1037/t12205-000","Clinical Interview Schedule--Revised (CIS-R)","14","0","3","REVIEW"
"10.1037/t06497-000","State-Trait Anxiety Inventory for Children (STAIC / How I Feel Questionnaire)","0","","0","not_found"
"10.1037/t03624-000","Multifactor Leadership Questionnaire (MLQ-5X)","45","39","9","REVIEW"
"10.1037/t73087-000","Behavior Rating Inventory of Executive Function (BRIEF) - Child Form","0","","0","not_found"
"10.1037/t55271-000","Thai Resilience Scale for Substance-Dependent Women (Sakunpong et al., 2016)","0","","0","not_found"
"10.1037/t02125-000","Conflict Tactics Scales","19","8","8","REVIEW"
"10.1037/t07870-000","Schedule for Affective Disorders and Schizophrenia (SADS)","0","","0","not_found"
"10.1037/t73087-000","Behavior Rating Inventory of Executive Function (BRIEF)","2","0","10","REVIEW"
"10.1037/t02278-000","Inventory of Interpersonal Problems","6","0","4","REVIEW"
"10.1037/t55271-000","Resilience Scale for Thai Substance-Dependent Women","0","","0","not_found"
"10.1037/1040-3590.7.4.472","","0","","0","not_found"
"10.1037/t01309-000","Parenting Scale","30","0","2","REVIEW"
"10.1037/t06497-000","State-Trait Anxiety Inventory for Children (STAIC / ""How I Feel Questionnaire"")","40","0","3","REVIEW"
"10.1037/t05183-000","","1","0","8","REVIEW"
"10.1037/h0032583","Kohn Symptom Checklist (KSC)","0","","0","not_found"
