meta_doi,meta_instrument_name,scale_name,item_text,database,corpus,url
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I cried a lot,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I cried a lot,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I cried a lot,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I cried a lot,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Mini Brief Risk-Resilience Index for Screening (BRISC),total_scale,I was often stressed and on edge,ScienceofBehaviorChange,larsen_corpus,NA
NA,HDQLIFE Speech Difficulties,total_scale,I had trouble speaking clearly.,PROMIS,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I hated myself,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I hated myself,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I hated myself,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I hated myself,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I hated myself,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I didn't want to see my friends,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mini Brief Risk-Resilience Index for Screening (BRISC),total_scale,I felt like I'm not worth anything,ScienceofBehaviorChange,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I was moving and walking more slowly than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I was moving and walking more slowly than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I was talking more slowly than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I was talking more slowly than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Mood And Feelings Questionnaire - Parent Report (34-item)(MFQ-P),total_scale,S/he found it hard to think properly or concentrate,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I ate more than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I ate more than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Mood And Feelings Questionnaire - Parent Report (34-item)(MFQ-P),total_scale,S/he felt miserable or unhappy,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I thought there was nothing good for me in the future,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I thought there was nothing good for me in the future,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,HDQLIFE Speech Difficulties,total_scale,I had trouble speaking.,PROMIS,larsen_corpus,NA
NA,Blood Donations Reactions Inventory,total_scale,I felt lightheadedness,ScienceofBehaviorChange,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I thought nobody really loved me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I thought nobody really loved me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I thought nobody really loved me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I thought nobody really loved me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I thought nobody really loved me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I felt that people dislike me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Depression Scale,total_scale,I felt that people dislike me.,ScienceofBehaviorChange,larsen_corpus,NA
NA,PROMIS Item Bank v0.1 – Sleep Disturbance – Short Form 6a,total_scale,I had a problem with my sleep,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2023-05/sleep-disturbance-6a-cdes
