dataset,regime,u,f,s,variant,n_draws,pearson_r_mean,pearson_r_p2.5,pearson_r_p97.5,mae_mean,mae_p2.5,mae_p97.5,sign_error_rate_mean,sign_error_rate_p2.5,sign_error_rate_p97.5,rho_mean,rho_p2.5,rho_p97.5,p_at_5_mean,p_at_5_p2.5,p_at_5_p97.5,p_at_10_mean,p_at_10_p2.5,p_at_10_p97.5,ndcg_at_10_mean,ndcg_at_10_p2.5,ndcg_at_10_p97.5
pilot_holdout,missing_only,0.25,0.0,0.0,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,missing_only,0.25,0.0,0.0,documented,50,0.7814120073344103,0.7290192234194066,0.8131324675719769,0.12807047452350706,0.12085108431569945,0.13792064274714438,0.13047343394666114,0.10631589828406036,0.1611794500723589,0.5185004683512875,0.4909106384201127,0.5478465820877818,0.6659823008849557,0.6407079646017698,0.6880973451327433,0.5657522123893806,0.549070796460177,0.5805309734513274,0.8229790815039171,0.8113538101497457,0.8354151663423558
pilot_holdout,missing_only,0.25,0.0,0.0,aligned,50,0.7833995441550133,0.7147170163503502,0.8205759321420524,0.12622367484508254,0.11833193482145901,0.1393533504265762,0.1295637792019847,0.10583005995451726,0.16272482943973537,0.5290328644394355,0.4977861539388253,0.5660784905097612,0.6887433628318584,0.6549115044247787,0.7111061946902655,0.5789557522123894,0.5549778761061948,0.5965486725663718,0.8365995916665772,0.8200573417178191,0.8477553055911349
pilot_holdout,missing_only,0.25,0.0,0.0,hyperplane_old,50,0.40767010084925515,0.3662953280566987,0.44209838816885566,0.1883843843066766,0.18381498879904073,0.19390993312920396,0.29793260285300804,0.2834194748811247,0.31736096754186477,0.40503417209334375,0.38355711948550114,0.4285473849477916,0.6131327433628319,0.5933185840707964,0.6403097345132743,0.5068672566371681,0.49106194690265487,0.5292035398230089,0.775635373108983,0.7614485589414268,0.791864540936099
pilot_holdout,missing_only,0.5,0.0,0.0,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,missing_only,0.5,0.0,0.0,documented,50,0.6109922481135839,0.558682717019322,0.6612003461004219,0.16092294728575332,0.15400497783516076,0.16827230726531847,0.2236923713045276,0.19667665908621046,0.25119909034525534,0.41947322517141367,0.3941434616792218,0.46759260439742173,0.6020530973451327,0.5787610619469026,0.6371238938053098,0.5095398230088496,0.49066371681415927,0.5426327433628317,0.7735984297365025,0.7564679351700814,0.7928146456927024
pilot_holdout,missing_only,0.5,0.0,0.0,aligned,50,0.5827173679410452,0.5250102226125773,0.6452742705341808,0.16274643602247277,0.15311876266560637,0.1719372682519537,0.23147405416580522,0.2020260492040521,0.25596444076907177,0.4403475281790267,0.4145754805322613,0.478925915219597,0.6334867256637168,0.6074778761061946,0.6544690265486726,0.5310796460176992,0.5081858407079646,0.5564159292035398,0.7935388660305509,0.7747734514176925,0.806913608206217
pilot_holdout,missing_only,0.5,0.0,0.0,hyperplane_old,50,0.31514565894604074,0.2815027843549416,0.35580380101173514,0.20180219782583905,0.19764172001080457,0.2056273218453132,0.3350341120529254,0.3205447591482324,0.34380814554475914,0.37220175790141274,0.35541322145109877,0.39047546602839484,0.5892035398230088,0.5703097345132744,0.608849557522124,0.4802654867256637,0.46323008849557523,0.49626106194690267,0.7590127557668366,0.7456968225332875,0.7709388734233851
pilot_holdout,missing_only,0.75,0.0,0.0,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,missing_only,0.75,0.0,0.0,documented,50,0.4070989790640657,0.36555441026871693,0.43994287205911914,0.1908313750743314,0.18597174185041576,0.19488278997287217,0.30923299565846596,0.2891616704568947,0.32616291089518296,0.3608240957213489,0.3352031365627245,0.39000789719307444,0.5699469026548672,0.5361061946902655,0.6050884955752212,0.4768141592920354,0.4464159292035398,0.4996017699115044,0.7488116866154008,0.7251536235614365,0.7640097678170623
